time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-16T07:48:39.280Z,36.8241653,-121.5619965,5.45,2.64,md,55,34,0.04728,0.2,nc,nc73577565,2021-06-16T07:57:34.653Z,"3km SW of San Juan Bautista, CA",earthquake,0.27,0.73,0.16,56,automatic,nc,nc
2021-06-16T06:24:16.240Z,18.1486,-67.159,20,2.81,md,21,148,0.0699,0.21,pr,pr2021167006,2021-06-16T06:46:55.893Z,"3 km WNW of Hormigueros, Puerto Rico",earthquake,0.5,0.79,0.27,17,reviewed,pr,pr
2021-06-16T05:01:37.749Z,52.748,-169.5784,4.9,2.8,ml,,,,0.74,ak,ak0217o9qgf9,2021-06-16T06:41:48.204Z,"52 km WSW of Nikolski, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2021-06-16T04:43:07.787Z,-3.5929,129.5025,10.55,5.8,mww,,37,2.822,0.98,us,us7000edf6,2021-06-16T06:45:56.652Z,"70 km ESE of Amahai, Indonesia",earthquake,6.3,0.6,0.071,19,reviewed,us,us
2021-06-16T04:19:12.400Z,19.3513336181641,-155.188659667969,2.52999997138977,2.54,ml,46,92,,0.219999999,hv,hv72527687,2021-06-16T04:25:59.040Z,"11 km SSE of Volcano, Hawaii",earthquake,0.36,0.819999993,2.77,30,automatic,hv,hv
2021-06-16T01:44:30.784Z,-31.6377,-177.1606,8.85,5.3,mww,,53,14.497,0.83,us,us7000edee,2021-06-16T05:36:36.040Z,"Kermadec Islands region",earthquake,11.4,4.2,0.098,10,reviewed,us,us
2021-06-16T01:35:33.080Z,19.36,-68.2133,34,3.41,md,13,336,0.8626,0.51,pr,pr2021167002,2021-06-16T02:12:10.959Z,"88 km NNE of Punta Cana, Dominican Republic",earthquake,4.08,32.49,0.11,6,reviewed,pr,pr
2021-06-16T00:57:20.754Z,52.9156,-162.5078,25.6,2.5,ml,,,,0.85,ak,ak0217o7391s,2021-06-16T06:10:03.263Z,"223 km SSE of False Pass, Alaska",earthquake,,2.1,,,reviewed,ak,ak
2021-06-16T00:32:21.199Z,-1.6022,-80.7938,35,4.5,mb,,166,2.064,1.03,us,us7000ede3,2021-06-16T05:12:46.207Z,"36 km SW of Jipijapa, Ecuador",earthquake,8.5,2,0.075,52,reviewed,us,us
2021-06-16T00:11:28.361Z,44.1279,-102.0833,5,2.6,mb_lg,,69,1.406,0.76,us,us7000eddx,2021-06-16T00:28:11.040Z,"15 km NNE of Quinn, South Dakota",earthquake,2.8,2,0.109,22,reviewed,us,us
2021-06-15T23:50:04.917Z,-37.2527,78.0929,10,5.5,mww,,55,38.47,0.93,us,us7000eddv,2021-06-16T01:53:16.819Z,"Mid-Indian Ridge",earthquake,4.4,1.8,0.098,10,reviewed,us,us
2021-06-15T23:12:04.800Z,17.8511,-66.8645,12,2.47,md,8,249,0.2152,0.22,pr,pr2021166017,2021-06-15T23:21:49.778Z,"14 km SSE of Guánica, Puerto Rico",earthquake,1.17,0.83,0.2,6,reviewed,pr,pr
